version,argo,asm-all,authlib,bcprov-jdk15on,blocklist,brigadier,codecjorbis,codecwav,commons-codec,commons-compress,commons-io,commons-lang3,commons-logging,datafixerupper,failureaccess,fastutil,gson,guava,httpclient,httpcore,icu4j,icu4j-core-mojang,java-objc-bridge-osx,javabridge,jinput,jinput-platform,jna,jna-platform,joml,jopt-simple,jutils,launchwrapper,libraryjavasound,librarylwjglopenal,log4j-api,log4j-core,log4j-slf4j18-impl,log4j-slf4j2-impl,logging,lwjgl,lwjgl-!osx,lwjgl-glfw,lwjgl-glfw-!osx,lwjgl-glfw-natives-linux,lwjgl-glfw-natives-macos,lwjgl-glfw-natives-macos-arm64,lwjgl-glfw-natives-windows,lwjgl-glfw-natives-windows-arm64,lwjgl-glfw-natives-windows-x86,lwjgl-glfw-osx,lwjgl-jemalloc,lwjgl-jemalloc-!osx,lwjgl-jemalloc-natives-linux,lwjgl-jemalloc-natives-macos,lwjgl-jemalloc-natives-macos-arm64,lwjgl-jemalloc-natives-windows,lwjgl-jemalloc-natives-windows-arm64,lwjgl-jemalloc-natives-windows-x86,lwjgl-jemalloc-osx,lwjgl-natives-linux,lwjgl-natives-macos,lwjgl-natives-macos-arm64,lwjgl-natives-windows,lwjgl-natives-windows-arm64,lwjgl-natives-windows-x86,lwjgl-openal,lwjgl-openal-!osx,lwjgl-openal-natives-linux,lwjgl-openal-natives-macos,lwjgl-openal-natives-macos-arm64,lwjgl-openal-natives-windows,lwjgl-openal-natives-windows-arm64,lwjgl-openal-natives-windows-x86,lwjgl-openal-osx,lwjgl-opengl,lwjgl-opengl-!osx,lwjgl-opengl-natives-linux,lwjgl-opengl-natives-macos,lwjgl-opengl-natives-macos-arm64,lwjgl-opengl-natives-windows,lwjgl-opengl-natives-windows-arm64,lwjgl-opengl-natives-windows-x86,lwjgl-opengl-osx,lwjgl-osx,lwjgl-platform,lwjgl-platform-!osx,lwjgl-platform-osx,lwjgl-stb,lwjgl-stb-!osx,lwjgl-stb-natives-linux,lwjgl-stb-natives-macos,lwjgl-stb-natives-macos-arm64,lwjgl-stb-natives-windows,lwjgl-stb-natives-windows-arm64,lwjgl-stb-natives-windows-x86,lwjgl-stb-osx,lwjgl-tinyfd,lwjgl-tinyfd-!osx,lwjgl-tinyfd-natives-linux,lwjgl-tinyfd-natives-macos,lwjgl-tinyfd-natives-macos-arm64,lwjgl-tinyfd-natives-windows,lwjgl-tinyfd-natives-windows-arm64,lwjgl-tinyfd-natives-windows-x86,lwjgl-tinyfd-osx,lwjgl_util,lwjgl_util-!osx,lwjgl_util-osx,netty,netty-all,netty-buffer,netty-codec,netty-common,netty-handler,netty-resolver,netty-transport,netty-transport-classes-epoll,netty-transport-native-epoll-linux-aarch_64,netty-transport-native-epoll-linux-x86_64,netty-transport-native-unix-common,oshi-core,patchy,platform,realms,slf4j-api,soundsystem,text2speech,trove4j,twitch,twitch-external-platform-windows,twitch-platform-!linux,vecmath
1.8.1,,,1.5.21,,,,20101023,20101023,1.9,1.8.1,2.4,3.3.2,1.1.3,,,,2.2.4,17.0,4.3.3,4.3.2,,51.2,,,2.0.5,2.0.5,,,,4.6,1.0.0,,20101123,20100824,2.0-beta9,2.0-beta9,,,,,2.9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9.2-nightly-20140822,,2.9.1,2.9.2-nightly-20140822,,,,,,,,,,,,,,,,,,,,2.9.1,2.9.2-nightly-20140822,1.8.8,4.0.23.Final,,,,,,,,,,,,,,1.7.8,,20120107,,,6.5,4.5,6.5,
1.8.2,,,1.5.21,,,,20101023,20101023,1.9,1.8.1,2.4,3.3.2,1.1.3,,,,2.2.4,17.0,4.3.3,4.3.2,,51.2,,,2.0.5,2.0.5,3.4.0,,,4.6,1.0.0,,20101123,20100824,2.0-beta9,2.0-beta9,,,,,2.9.4-nightly-20150209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9.2-nightly-20140822,,2.9.4-nightly-20150209,2.9.2-nightly-20140822,,,,,,,,,,,,,,,,,,,,2.9.4-nightly-20150209,2.9.2-nightly-20140822,1.8.8,4.0.23.Final,,,,,,,,,,,1.1,,3.4.0,1.7.9,,20120107,,,6.5,4.5,6.5,
1.8.3,,,1.5.21,,,,20101023,20101023,1.9,1.8.1,2.4,3.3.2,1.1.3,,,,2.2.4,17.0,4.3.3,4.3.2,,51.2,,,2.0.5,2.0.5,3.4.0,,,4.6,1.0.0,,20101123,20100824,2.0-beta9,2.0-beta9,,,,,2.9.4-nightly-20150209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9.2-nightly-20140822,,2.9.4-nightly-20150209,2.9.2-nightly-20140822,,,,,,,,,,,,,,,,,,,,2.9.4-nightly-20150209,2.9.2-nightly-20140822,1.8.8,4.0.23.Final,,,,,,,,,,,1.1,,3.4.0,1.7.13,,20120107,,,6.5,4.5,6.5,
1.8.4,,,1.5.21,,,,20101023,20101023,1.9,1.8.1,2.4,3.3.2,1.1.3,,,,2.2.4,17.0,4.3.3,4.3.2,,51.2,,,2.0.5,2.0.5,3.4.0,,,4.6,1.0.0,,20101123,20100824,2.0-beta9,2.0-beta9,,,,,2.9.4-nightly-20150209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9.2-nightly-20140822,,2.9.4-nightly-20150209,2.9.2-nightly-20140822,,,,,,,,,,,,,,,,,,,,2.9.4-nightly-20150209,2.9.2-nightly-20140822,1.8.8,4.0.23.Final,,,,,,,,,,,1.1,,3.4.0,1.7.17,,20120107,,,6.5,4.5,6.5,
1.8.5,,,1.5.21,,,,20101023,20101023,1.9,1.8.1,2.4,3.3.2,1.1.3,,,,2.2.4,17.0,4.3.3,4.3.2,,51.2,,,2.0.5,2.0.5,3.4.0,,,4.6,1.0.0,,20101123,20100824,2.0-beta9,2.0-beta9,,,,,2.9.4-nightly-20150209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9.2-nightly-20140822,,2.9.4-nightly-20150209,2.9.2-nightly-20140822,,,,,,,,,,,,,,,,,,,,2.9.4-nightly-20150209,2.9.2-nightly-20140822,1.8.8,4.0.23.Final,,,,,,,,,,,1.1,,3.4.0,1.7.18,,20120107,,,6.5,4.5,6.5,
1.8.6,,,1.5.21,,,,20101023,20101023,1.9,1.8.1,2.4,3.3.2,1.1.3,,,,2.2.4,17.0,4.3.3,4.3.2,,51.2,,,2.0.5,2.0.5,3.4.0,,,4.6,1.0.0,,20101123,20100824,2.0-beta9,2.0-beta9,,,,,2.9.4-nightly-20150209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9.2-nightly-20140822,,2.9.4-nightly-20150209,2.9.2-nightly-20140822,,,,,,,,,,,,,,,,,,,,2.9.4-nightly-20150209,2.9.2-nightly-20140822,1.8.8,4.0.23.Final,,,,,,,,,,,1.1,,3.4.0,1.7.19,,20120107,,,6.5,4.5,6.5,
1.8.7,,,1.5.21,,,,20101023,20101023,1.9,1.8.1,2.4,3.3.2,1.1.3,,,,2.2.4,17.0,4.3.3,4.3.2,,51.2,,,2.0.5,2.0.5,3.4.0,,,4.6,1.0.0,,20101123,20100824,2.0-beta9,2.0-beta9,,,,,2.9.4-nightly-20150209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9.2-nightly-20140822,,2.9.4-nightly-20150209,2.9.2-nightly-20140822,,,,,,,,,,,,,,,,,,,,2.9.4-nightly-20150209,2.9.2-nightly-20140822,1.8.8,4.0.23.Final,,,,,,,,,,,1.1,,3.4.0,1.7.23,,20120107,,,6.5,4.5,6.5,
1.8.8,,,1.5.21,,,,20101023,20101023,1.9,1.8.1,2.4,3.3.2,1.1.3,,,,2.2.4,17.0,4.3.3,4.3.2,,51.2,,,2.0.5,2.0.5,3.4.0,,,4.6,1.0.0,,20101123,20100824,2.0-beta9,2.0-beta9,,,,,2.9.4-nightly-20150209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9.2-nightly-20140822,,2.9.4-nightly-20150209,2.9.2-nightly-20140822,,,,,,,,,,,,,,,,,,,,2.9.4-nightly-20150209,2.9.2-nightly-20140822,1.8.8,4.0.23.Final,,,,,,,,,,,1.1,,3.4.0,1.7.39,,20120107,,,6.5,4.5,6.5,
1.8.9,,,1.5.21,,,,20101023,20101023,1.9,1.8.1,2.4,3.3.2,1.1.3,,,,2.2.4,17.0,4.3.3,4.3.2,,51.2,,,2.0.5,2.0.5,3.4.0,,,4.6,1.0.0,,20101123,20100824,2.0-beta9,2.0-beta9,,,,,2.9.4-nightly-20150209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9.2-nightly-20140822,,2.9.4-nightly-20150209,2.9.2-nightly-20140822,,,,,,,,,,,,,,,,,,,,2.9.4-nightly-20150209,2.9.2-nightly-20140822,1.8.8,4.0.23.Final,,,,,,,,,,,1.1,,3.4.0,1.7.59,,20120107,,,6.5,4.5,6.5,
1.9,,,1.5.22,,,,20101023,20101023,1.9,1.8.1,2.4,3.3.2,1.1.3,,,,2.2.4,17.0,4.3.3,4.3.2,,51.2,,,2.0.5,2.0.5,3.4.0,,,4.6,1.0.0,,20101123,20100824,2.0-beta9,2.0-beta9,,,,,2.9.4-nightly-20150209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9.2-nightly-20140822,,2.9.4-nightly-20150209,2.9.2-nightly-20140822,,,,,,,,,,,,,,,,,,,,2.9.4-nightly-20150209,2.9.2-nightly-20140822,1.8.8,4.0.23.Final,,,,,,,,,,,1.1,,3.4.0,1.8.7,,20120107,,,,,,
